league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,passing_nation,passing_pos,passing_age,passing_born,passing_90s,passing_total_cmp,passing_total_att,passing_total_cmp%,passing_total_totdist,passing_total_prgdist,passing_short_cmp,passing_short_att,passing_short_cmp%,passing_medium_cmp,passing_medium_att,passing_medium_cmp%,passing_long_cmp,passing_long_att,passing_long_cmp%,passing_ast,passing_a-xag,passing_kp,passing_1/3,passing_ppa,passing_crspa,defense_nation,defense_pos,defense_age,defense_born,defense_90s,defense_tackles_tkl,defense_tackles_tklw,defense_tackles_def 3rd,defense_tackles_mid 3rd,defense_tackles_att 3rd,defense_challenges_tkl,defense_challenges_att,defense_challenges_tkl%,defense_challenges_lost,defense_blocks_blocks,defense_blocks_sh,defense_blocks_pass,defense_int,defense_tkl+int,defense_clr,defense_err,possession_nation,possession_pos,possession_age,possession_born,possession_90s,possession_touches_touches,possession_touches_def pen,possession_touches_def 3rd,possession_touches_mid 3rd,possession_touches_att 3rd,possession_touches_att pen,possession_touches_live,possession_take-ons_att,possession_take-ons_succ,possession_take-ons_succ%,possession_take-ons_tkld,possession_take-ons_tkld%,possession_carries_carries,possession_carries_totdist,possession_carries_prgdist,possession_carries_1/3,possession_carries_cpa,possession_carries_mis,possession_carries_dis,possession_rec,gca_nation,gca_pos,gca_age,gca_born,gca_90s,gca_sca_sca,gca_sca_sca90,gca_sca types_passlive,gca_sca types_passdead,gca_sca types_to,gca_sca types_sh,gca_sca types_fld,gca_sca types_def,gca_gca_gca,gca_gca_gca90,gca_gca types_passlive,gca_gca types_passdead,gca_gca types_to,gca_gca types_sh,gca_gca types_fld,gca_gca types_def,misc_nation,misc_pos,misc_age,misc_born,misc_90s,misc_performance_crdy,misc_performance_crdr,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,shooting_nation,shooting_pos,shooting_age,shooting_born,shooting_90s,shooting_standard_gls,shooting_standard_sh,shooting_standard_sot,shooting_standard_sot%,shooting_standard_sh/90,shooting_standard_sot/90,shooting_standard_g/sh,shooting_standard_g/sot,shooting_standard_pk,shooting_standard_pkatt,player_name,club,minutes_played,goals,assists,pass_cmp_pct,prg_pass_dist,long_pass_cmp_pct,final_third_passes,key_passes,tackles_won,def_duels_won_pct,blocks,interceptions,clearances,errors_to_shot,touches_in_box,successful_dribbles,dribble_success_pct,carries_final_third,carries_into_box,sca,gca,shots_on_target_pct,shot_conversion_pct,xg,xag,npxg,prg_carries,prg_passes,through_balls,aerial_won_pct,recoveries
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23.0,2001.0,30,27,2417,26.9,1,3,4,1,0,0,7,0,0.04,0.11,0.15,0.04,0.15,NED,DF,23.0,2001.0,26.9,,,,,,,,,,,,,,,3,,,,,,NED,DF,23.0,2001.0,26.9,,36,,,,,,,,,,,24,,,,NED,DF,23.0,2001.0,26.9,,,,,,,,,,,,,,,,,,,,,NED,DF,23.0,2001.0,26.9,,,,,,,,,,,,,,,,,NED,DF,23.0,2001.0,26.9,7,0,0,30,29,7,28,24,36,,,0,NED,DF,23.0,2001.0,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,0,0,Jurriën Timber,Arsenal,2417,1,3,0,0,0,0,0,36,0,0,24,0,0,0,0,0,,,0,0,28.6,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,FW,25.0,1999.0,23,21,1875,20.8,9,3,12,9,0,0,5,0,0.43,0.14,0.58,0.43,0.58,GER,FW,25.0,1999.0,20.8,,,,,,,,,,,,,,,3,,,,,,GER,FW,25.0,1999.0,20.8,,8,,,,,,,,,,,5,,,,GER,FW,25.0,1999.0,20.8,,,,,,,,,,,,,,,,,,,,,GER,FW,25.0,1999.0,20.8,,,,,,,,,,,,,,,,,GER,FW,25.0,1999.0,20.8,5,0,0,38,23,14,11,5,8,,,0,GER,FW,25.0,1999.0,20.8,9,53,21,39.6,2.54,1.01,0.17,0.43,0,0,Kai Havertz,Arsenal,1875,9,3,0,0,0,0,0,8,0,0,5,0,0,0,0,0,,,0,0,39.6,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,DF,27.0,1997.0,13,2,259,2.9,1,0,1,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,SCO,DF,27.0,1997.0,2.9,,,,,,,,,,,,,,,0,,,,,,SCO,DF,27.0,1997.0,2.9,,5,,,,,,,,,,,3,,,,SCO,DF,27.0,1997.0,2.9,,,,,,,,,,,,,,,,,,,,,SCO,DF,27.0,1997.0,2.9,,,,,,,,,,,,,,,,,SCO,DF,27.0,1997.0,2.9,0,0,0,1,2,2,14,3,5,,,0,SCO,DF,27.0,1997.0,2.9,1,2,1,50.0,0.69,0.35,0.5,1.0,0,0,Kieran Tierney,Arsenal,259,1,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,,,0,0,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29.0,1994.0,38,28,2546,28.3,8,7,15,8,0,0,4,1,0.28,0.25,0.53,0.28,0.53,BEL,FW,29.0,1994.0,28.3,,,,,,,,,,,,,,,7,,,,,,BEL,FW,29.0,1994.0,28.3,,18,,,,,,,,,,,10,,,,BEL,FW,29.0,1994.0,28.3,,,,,,,,,,,,,,,,,,,,,BEL,FW,29.0,1994.0,28.3,,,,,,,,,,,,,,,,,BEL,FW,29.0,1994.0,28.3,4,1,1,27,46,6,80,10,18,,,0,BEL,FW,29.0,1994.0,28.3,8,72,22,30.6,2.55,0.78,0.11,0.36,0,0,Leandro Trossard,Arsenal,2546,8,7,0,0,0,0,0,18,0,0,10,0,0,0,0,0,,,0,0,30.6,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25.0,1998.0,30,26,2325,25.8,3,8,11,2,1,1,4,0,0.12,0.31,0.43,0.08,0.39,NOR,MF,25.0,1998.0,25.8,,,,,,,,,,,,,,,8,,,,,,NOR,MF,25.0,1998.0,25.8,,8,,,,,,,,,,,6,,,,NOR,MF,25.0,1998.0,25.8,,,,,,,,,,,,,,,,,,,,,NOR,MF,25.0,1998.0,25.8,,,,,,,,,,,,,,,,,NOR,MF,25.0,1998.0,25.8,4,0,0,12,23,1,86,6,8,,,0,NOR,MF,25.0,1998.0,25.8,3,49,17,34.7,1.9,0.66,0.04,0.12,1,1,Martin Ødegaard,Arsenal,2325,3,8,0,0,0,0,0,8,0,0,6,0,0,0,0,0,,,0,0,34.7,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28.0,1996.0,28,17,1586,17.6,7,2,9,7,0,0,4,1,0.4,0.11,0.51,0.4,0.51,ESP,"MF,FW",28.0,1996.0,17.6,,,,,,,,,,,,,,,2,,,,,,ESP,"MF,FW",28.0,1996.0,17.6,,28,,,,,,,,,,,16,,,,ESP,"MF,FW",28.0,1996.0,17.6,,,,,,,,,,,,,,,,,,,,,ESP,"MF,FW",28.0,1996.0,17.6,,,,,,,,,,,,,,,,,ESP,"MF,FW",28.0,1996.0,17.6,4,1,1,41,23,7,12,16,28,,,0,ESP,"MF,FW",28.0,1996.0,17.6,7,38,15,39.5,2.16,0.85,0.18,0.47,0,0,Mikel Merino,Arsenal,1586,7,2,0,0,0,0,0,28,0,0,16,0,0,0,0,0,,,0,0,39.5,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17.0,2006.0,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.07,0.0,0.07,0.07,0.07,ENG,DF,17.0,2006.0,15.2,,,,,,,,,,,,,,,0,,,,,,ENG,DF,17.0,2006.0,15.2,,13,,,,,,,,,,,7,,,,ENG,DF,17.0,2006.0,15.2,,,,,,,,,,,,,,,,,,,,,ENG,DF,17.0,2006.0,15.2,,,,,,,,,,,,,,,,,ENG,DF,17.0,2006.0,15.2,3,2,0,11,47,0,10,7,13,,,0,ENG,DF,17.0,2006.0,15.2,1,3,1,33.3,0.2,0.07,0.33,1.0,0,0,Myles Lewis-Skelly,Arsenal,1369,1,0,0,0,0,0,0,13,0,0,7,0,0,0,0,0,,,0,0,33.3,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21.0,2003.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,FW,21.0,2003.0,0.1,,,,,,,,,,,,,,,0,,,,,,ENG,FW,21.0,2003.0,0.1,,0,,,,,,,,,,,0,,,,ENG,FW,21.0,2003.0,0.1,,,,,,,,,,,,,,,,,,,,,ENG,FW,21.0,2003.0,0.1,,,,,,,,,,,,,,,,,ENG,FW,21.0,2003.0,0.1,0,0,0,0,0,0,0,0,0,,,0,ENG,FW,21.0,2003.0,0.1,0,1,1,100.0,12.86,12.86,0.0,0.0,0,0,Nathan Butler-Oyedeji,Arsenal,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27.0,1996.0,15,5,527,5.9,0,1,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,UKR,"DF,MF",27.0,1996.0,5.9,,,,,,,,,,,,,,,1,,,,,,UKR,"DF,MF",27.0,1996.0,5.9,,0,,,,,,,,,,,5,,,,UKR,"DF,MF",27.0,1996.0,5.9,,,,,,,,,,,,,,,,,,,,,UKR,"DF,MF",27.0,1996.0,5.9,,,,,,,,,,,,,,,,,UKR,"DF,MF",27.0,1996.0,5.9,1,0,0,8,3,1,13,5,0,,,0,UKR,"DF,MF",27.0,1996.0,5.9,0,10,0,0.0,1.71,0.0,0.0,,0,0,Oleksandr Zinchenko,Arsenal,527,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",29.0,1994.0,17,7,499,5.5,0,2,2,0,0,0,1,0,0.0,0.36,0.36,0.0,0.36,ENG,"FW,MF",29.0,1994.0,5.5,,,,,,,,,,,,,,,2,,,,,,ENG,"FW,MF",29.0,1994.0,5.5,,4,,,,,,,,,,,1,,,,ENG,"FW,MF",29.0,1994.0,5.5,,,,,,,,,,,,,,,,,,,,,ENG,"FW,MF",29.0,1994.0,5.5,,,,,,,,,,,,,,,,,ENG,"FW,MF",29.0,1994.0,5.5,1,0,0,12,8,4,16,1,4,,,0,ENG,"FW,MF",29.0,1994.0,5.5,0,11,0,0.0,1.98,0.0,0.0,,0,0,Raheem Sterling,Arsenal,499,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,"FW,MF",24.0,1999.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,"FW,MF",24.0,1999.0,0.0,,,,,,,,,,,,,,,0,,,,,,ENG,"FW,MF",24.0,1999.0,0.0,,1,,,,,,,,,,,0,,,,ENG,"FW,MF",24.0,1999.0,0.0,,,,,,,,,,,,,,,,,,,,,ENG,"FW,MF",24.0,1999.0,0.0,,,,,,,,,,,,,,,,,ENG,"FW,MF",24.0,1999.0,0.0,0,0,0,1,1,0,0,0,1,,,0,ENG,"FW,MF",24.0,1999.0,0.0,0,0,0,,0.0,0.0,,,0,0,Reiss Nelson,Arsenal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22.0,2002.0,19,11,983,10.9,2,1,3,2,0,0,4,0,0.18,0.09,0.27,0.18,0.27,ITA,DF,22.0,2002.0,10.9,,,,,,,,,,,,,,,1,,,,,,ITA,DF,22.0,2002.0,10.9,,18,,,,,,,,,,,8,,,,ITA,DF,22.0,2002.0,10.9,,,,,,,,,,,,,,,,,,,,,ITA,DF,22.0,2002.0,10.9,,,,,,,,,,,,,,,,,ITA,DF,22.0,2002.0,10.9,4,0,0,15,6,3,11,8,18,,,0,ITA,DF,22.0,2002.0,10.9,2,10,6,60.0,0.92,0.55,0.2,0.33,0,0,Riccardo Calafiori,Arsenal,983,2,1,0,0,0,0,0,18,0,0,8,0,0,0,0,0,,,0,0,60.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,25.0,1998.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,JPN,DF,25.0,1998.0,0.1,,,,,,,,,,,,,,,0,,,,,,JPN,DF,25.0,1998.0,0.1,,0,,,,,,,,,,,0,,,,JPN,DF,25.0,1998.0,0.1,,,,,,,,,,,,,,,,,,,,,JPN,DF,25.0,1998.0,0.1,,,,,,,,,,,,,,,,,JPN,DF,25.0,1998.0,0.1,0,0,0,0,0,0,0,0,0,,,0,JPN,DF,25.0,1998.0,0.1,0,1,0,0.0,12.86,0.0,0.0,,0,0,Takehiro Tomiyasu,Arsenal,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31.0,1993.0,35,31,2797,31.1,4,2,6,4,0,0,4,0,0.13,0.06,0.19,0.13,0.19,GHA,"MF,DF",31.0,1993.0,31.1,,,,,,,,,,,,,,,2,,,,,,GHA,"MF,DF",31.0,1993.0,31.1,,53,,,,,,,,,,,35,,,,GHA,"MF,DF",31.0,1993.0,31.1,,,,,,,,,,,,,,,,,,,,,GHA,"MF,DF",31.0,1993.0,31.1,,,,,,,,,,,,,,,,,GHA,"MF,DF",31.0,1993.0,31.1,4,0,0,44,31,1,12,35,53,,,0,GHA,"MF,DF",31.0,1993.0,31.1,4,26,9,34.6,0.84,0.29,0.15,0.44,0,0,Thomas Partey,Arsenal,2797,4,2,0,0,0,0,0,53,0,0,35,0,0,0,0,0,,,0,0,34.6,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23.0,2001.0,35,35,3039,33.8,2,0,2,2,0,0,2,1,0.06,0.0,0.06,0.06,0.06,FRA,DF,23.0,2001.0,33.8,,,,,,,,,,,,,,,0,,,,,,FRA,DF,23.0,2001.0,33.8,,34,,,,,,,,,,,22,,,,FRA,DF,23.0,2001.0,33.8,,,,,,,,,,,,,,,,,,,,,FRA,DF,23.0,2001.0,33.8,,,,,,,,,,,,,,,,,FRA,DF,23.0,2001.0,33.8,2,1,0,28,17,1,3,22,34,,,0,FRA,DF,23.0,2001.0,33.8,2,6,3,50.0,0.18,0.09,0.33,0.67,0,0,William Saliba,Arsenal,3039,2,0,0,0,0,0,0,34,0,0,22,0,0,0,0,0,,,0,0,50.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
